symptom,disease
"I’ve been running a high fever for several days. Around 102°F. Yes, I’ve had stomach cramps and diarrhea. Yes, I visited some rural areas in Africa.",typhoid
"My urine is dark, and my eyes look yellow. Around three days ago. Yes, I feel itchy and very tired.",jaundice
"I’ve had a dry cough and now my breathing feels shallow. Yes, I’ve been having chills and a mild fever. How serious can pneumonia get?",pneumonia
"My cold has lasted for almost a week, and now I have a headache too. It feels like sinus pressure, especially around my eyes. How long will this headache last? Can I continue working with this headache?",common cold
Can stress really cause a migraine? I’ve been very stressed lately. I’ll try doing more relaxation exercises.,migraine
"I have an itchy, red rash behind my knees. Yes, it’s scaly and feels rough to the touch. Yes, I’ve been wearing leggings a lot lately. Should I stop wearing leggings?",fungal infection
"My acne is leaving deep, painful cysts on my face. I’ve been using benzoyl peroxide, but it’s not working for the cysts. Are those treatments safe?",acne
"I have small red spots that are itching a lot. Yes, some of them are turning into blisters. Yes, I’ve been feeling very tired with a slight fever.",chicken pox
"I’ve been feeling very drowsy and sleepy since I started my new medication. Yes, I can barely keep my eyes open at work. I’ll see if they can help me with that.",drug reaction
I’m getting migraines more often lately. Could stress be causing this? I’ve been really stressed at work. I’ll try to take more breaks.,migraine
"I've been experiencing pain, swelling, and some bleeding around my anus, and it's been bothering me for a few days. Yes, there’s a small lump, and it’s especially painful when I sit for long periods. Can I do anything at home to relieve the discomfort in the meantime?",dimorphic hemorrhoids
"Every time I urinate, I feel like something is stuck, and it's really painful. Yes, there’s pressure as well. A few days now.",urinary tract infection
"I feel like my hands are trembling after I started this new medication. No, just the trembling. I’ll talk to them about it. Thanks for the suggestion.",drug reaction
"I’m getting a bad taste in my mouth after meals. Yes, I get heartburn regularly. I’ll try those tips. Thanks!",gastroesophageal reflux disease
"My child’s eyes are yellow, and he’s been more tired than usual. He’s 7 years old, and I noticed it two days ago. No fever, but his urine looks darker, and his stools are lighter.",jaundice
"My hemorrhoids seem to have gotten worse recently, with more bleeding and pain. It’s been a few days now, and it’s been pretty consistent. Will I need surgery?",dimorphic hemorrhoids
"My fevers are unpredictable, and I feel drained all the time. Yes, chills before and sweating after the fever breaks. Yes, nausea and body aches too. Yes, I was in a tropical area two weeks ago.",malaria
"My throat feels scratchy, and I’m constantly sneezing. Yes, my nose is really stuffy too. How long will I feel like this? Is it okay to go outside while I have a cold?",common cold
"Lately, I’ve been waking up with a sour taste in my mouth. I also feel like I have a lump in my throat sometimes. I usually eat dinner late. I’ll try changing that. I’ll keep that in mind. Thanks!",gastroesophageal reflux disease
"My toenails are thick and have white spots near the tips. Yes, they break easily. I use public showers at the pool. Should I stop swimming?",fungal infection
"I have dry, scaly patches on my elbows and knees. About a month. They itch a lot, and sometimes they sting. Yes, both make it worse. Yes, my mother has psoriasis.",psoriasis
"I have dark, velvety patches on my neck that itch sometimes. Yes, they feel thicker than the surrounding skin. Yes, I’ve gained some weight recently. Should I see a doctor for this?",fungal infection
What are some stretches I can do to help with my neck pain from cervical spondylosis? I’ll try those stretches. I’ll start incorporating them into my routine.,cervical spondylosis
"I’ve noticed some red, scaly patches on my elbows and knees. Yes, they itch a lot, and sometimes they’re sore. About a month. Yes, both. Yes, my mother had it.",psoriasis
"I have a high fever and feel weak. Yes, both my joints and my eyes hurt. Yes, I have a rash and had a nosebleed earlier.",dengue
"My nose is completely blocked, and I can’t sleep properly. No, I haven’t. Will that help? Should I avoid lying down flat?",common cold
"My urine is dark, and I’ve lost my appetite. About three days ago. Yes, my eyes are yellowish now.",jaundice
"I’ve had hemorrhoids before, but now I feel a burning sensation and swelling. Yes, there’s a little blood when I wipe, and I’ve been itching a lot. Are there any home remedies I can try in the meantime?",dimorphic hemorrhoids
"I’ve been coughing for days, and now I feel dizzy and short of breath. Yes, I’ve had chills and a fever for a couple of days now. Should I go to urgent care or the emergency room?",pneumonia
"I’ve had a cold for a while, but now I feel worse, with sharp chest pain. Yes, it’s hard to take a full breath, and my chest feels tight. Could this be something less serious?",pneumonia
"My skin feels really dry and itchy, and I noticed some red patches. Yes, I changed my laundry detergent to a scented one. I’ll try that. Should I use any special creams for the itching?",allergy
"I noticed white spots on my chest that aren’t tanning. No itching, but they do feel dry. Yes, I’ve been sweating a lot at work. Will the skin return to its normal color?",fungal infection
"My skin is covered in red, itchy bumps. Yes, some of them are turning into blisters. Yes, I’ve had a mild fever and feel exhausted.",chicken pox
Can caffeine help with migraines? I usually drink coffee when I feel one coming on. I’ll limit my coffee intake.,migraine
"My ears are itchy and feel wet inside. Yes, there’s a slight discharge and odor. I’ve been swimming a lot lately. Should I stop swimming for now?",fungal infection
"I have a high fever and my body feels sore. Yes, my eyes hurt, and my joints are sore. Yes, I have a rash, and my nose has been bleeding.",dengue
"I think I have jaundice. My skin is yellow. My eyes are yellow too, and my urine is dark. Yes, I feel nauseous and have mild abdominal discomfort.",jaundice
"My chest and back are covered in acne, not just my face. I do work out a lot and sometimes stay in my gym clothes for a while after. Are there any treatments for severe body acne?",acne
"My asthma seems worse when I’m around pets. Is that normal? Yes, I have a cat. Will that help with the asthma symptoms?",bronchial asthma
"I feel really tired, and I’ve had a headache for two days. Yes, all of those. Should I be worried about the headache?",common cold
"I’ve been feeling bloated and it’s painful when I urinate. No fever, just bloating and pain. For about two days.",urinary tract infection
"I have small, itchy blisters on the sides of my fingers. Yes, they’re tiny and filled with clear fluid. Yes, I wash dishes a lot without gloves. Can I still use hand soap?",fungal infection
"I’ve been noticing red patches on my skin that are flaky. Mostly on my elbows and knees. They itch a lot, and sometimes they feel sore. About a month now. Yes, both trigger it. Yes, my mother had psoriasis.",psoriasis
"I noticed black stools recently. Could that be related to my stomach pain? Yes, I’ve felt faint a few times. I’ll go to the doctor right away. Thanks for the warning.",peptic ulcer disease
